clt       , CLDTOT
hfls      , LHFLX
hfss      , SHFLX
hur       , RELHUM
hurs      , RHREFHT
hursmax   , RHREFHMX
hursmin   , RHREFHMN
hus       , Q
huss      , QREFHT
pr        , PRECT
prc       , PRECC
prsn      , PRECSC+PRECSL
psl       , PSL
rlds      , FLDS
rls       , FLNS
rlus      , FLUS
rlut      , FLUTOA
rsds      , FSDS
rss       , FSNS
rsus      , FSUS
sfcWind   , WIND10M
sfcWindmax,WIND10MX
ta        , T
tas       , TREFHT
tasmax    , TREFMXAV
tasmin    , TREFMNAV
ua        , U
va        , V
wap       , OMEGA
zg        , Z3
